Division Number: 81
Division Date: 20 July 2020 - 21:44

Trade Bill: Report Stage: Amendment 10

Aye Count: 244
No Count: 345
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Mark Pawsey","Conservative","Rugby","No",""
"Stephanie Peacock","Labour","Barnsley East","Aye",""
"Mike Penning","Conservative","Hemel Hempstead","No",""
"Matthew Pennycook","Labour","Greenwich and Woolwich","Aye",""
"John Penrose","Conservative","Weston-super-Mare","No",""
"Andrew Percy","Conservative","Brigg and Goole","No Vote Recorded",""
"Toby Perkins","Labour","Chesterfield","No Vote Recorded",""
"Jess Phillips","Labour","Birmingham, Yardley","Aye",""
"Bridget Phillipson","Labour","Houghton and Sunderland South","Aye",""
"Chris Philp","Conservative","Croydon South","No",""
"Christopher Pincher","Conservative","Tamworth","No",""
"Luke Pollard","Labour","Plymouth, Sutton and Devonport","Aye",""
"Dan Poulter","Conservative","Central Suffolk and North Ipswich","No",""
"Rebecca Pow","Conservative","Taunton Deane","No Vote Recorded",""
"Lucy Powell","Labour","Manchester Central","Aye",""
"Victoria Prentis","Conservative","Banbury","No",""
"Mark Pritchard","Conservative","The Wrekin","No Vote Recorded",""
"Tom Pursglove","Conservative","Corby","No",""
"Jeremy Quin","Conservative","Horsham","No",""
"Will Quince","Conservative","Colchester","No",""
"Yasmin Qureshi","Labour","Bolton South East","Aye",""
"Dominic Raab","Conservative","Esher and Walton","No",""
"Tom Randall","Conservative","Gedling","No",""
"Angela Rayner","Labour","Ashton-under-Lyne","No Vote Recorded",""
"John Redwood","Conservative","Wokingham","No",""
"Steve Reed","Labour","Croydon North","No Vote Recorded",""
"Jacob Rees-Mogg","Conservative","North East Somerset","No",""
"Christina Rees","Labour","Neath","Aye",""
"Ellie Reeves","Labour","Lewisham West and Penge","Aye",""
"Rachel Reeves","Labour","Leeds West","No Vote Recorded",""
"Jonathan Reynolds","Labour","Stalybridge and Hyde","Aye",""
"Bell Ribeiro-Addy","Labour","Streatham","Aye",""
"Nicola Richards","Conservative","West Bromwich East","No",""
"Angela Richardson","Conservative","Guildford","No",""
"Marie Rimmer","Labour","St Helens South and Whiston","Aye",""
"Rob Roberts","Conservative","Delyn","No",""
"Laurence Robertson","Conservative","Tewkesbury","No",""
"Gavin Robinson","Democratic Unionist Party","Belfast East","No",""
"Mary Robinson","Conservative","Cheadle","No",""
"Matt Rodda","Labour","Reading East","Aye",""
"Andrew Rosindell","Conservative","Romford","No",""
"Douglas Ross","Conservative","Moray","No",""
"Lee Rowley","Conservative","North East Derbyshire","No",""
"Lloyd Russell-Moyle","Labour","Brighton, Kemptown","Aye",""
"Dean Russell","Conservative","Watford","No",""
"David Rutley","Conservative","Macclesfield","No",""
"Gary Sambrook","Conservative","Birmingham, Northfield","No",""
"Liz Saville Roberts","Plaid Cymru","Dwyfor Meirionnydd","Aye",""
"Selaine Saxby","Conservative","North Devon","No",""
"Paul Scully","Conservative","Sutton and Cheam","No",""
"Bob Seely","Conservative","Isle of Wight","No",""
"Andrew Selous","Conservative","South West Bedfordshire","No",""
"Naz Shah","Labour","Bradford West","Aye",""
"Jim Shannon","Democratic Unionist Party","Strangford","No",""
"Grant Shapps","Conservative","Welwyn Hatfield","No",""
"Alok Sharma","Conservative","Reading West","No",""
"Virendra Sharma","Labour","Ealing, Southall","Aye",""
"Barry Sheerman","Labour","Huddersfield","Aye",""
"Alec Shelbrooke","Conservative","Elmet and Rothwell","No",""
"Tommy Sheppard","Scottish National Party","Edinburgh East","Aye",""
"Tulip Siddiq","Labour","Hampstead and Kilburn","Aye",""
"David Simmonds","Conservative","Ruislip, Northwood and Pinner","No",""
"Chris Skidmore","Conservative","Kingswood","No",""
"Andy Slaughter","Labour","Hammersmith","Aye",""
"Alyn Smith","Scottish National Party","Stirling","Aye",""
"Cat Smith","Labour","Lancaster and Fleetwood","Aye",""
"Chloe Smith","Conservative","Norwich North","No",""
"Greg Smith","Conservative","Buckingham","No",""
"Henry Smith","Conservative","Crawley","No",""
"Jeff Smith","Labour","Manchester, Withington","Aye",""
"Julian Smith","Conservative","Skipton and Ripon","No",""
"Nick Smith","Labour","Blaenau Gwent","Aye",""
"Royston Smith","Conservative","Southampton, Itchen","No",""
"Karin Smyth","Labour","Bristol South","No Vote Recorded",""
"Alex Sobel","Labour","Leeds North West","No Vote Recorded",""
"Amanda Solloway","Conservative","Derby North","No",""
"John Spellar","Labour","Warley","Aye",""
"Ben Spencer","Conservative","Runnymede and Weybridge","No",""
"Mark Spencer","Conservative","Sherwood","No",""
"Alexander Stafford","Conservative","Rother Valley","No",""
"Keir Starmer","Labour","Holborn and St Pancras","Aye",""
"Chris Stephens","Scottish National Party","Glasgow South West","Aye",""
"Andrew Stephenson","Conservative","Pendle","No",""
"Jo Stevens","Labour","Cardiff Central","Aye",""
"Jane Stevenson","Conservative","Wolverhampton North East","No",""
"John Stevenson","Conservative","Carlisle","No",""
"Bob Stewart","Conservative","Beckenham","No",""
"Iain Stewart","Conservative","Milton Keynes South","No",""
"Jamie Stone","Liberal Democrat","Caithness, Sutherland and Easter Ross","Aye",""
"Gary Streeter","Conservative","South West Devon","No",""
"Wes Streeting","Labour","Ilford North","Aye",""
"Mel Stride","Conservative","Central Devon","No Vote Recorded",""
"Graham Stringer","Labour","Blackley and Broughton","Aye",""
"Graham Stuart","Conservative","Beverley and Holderness","No",""
"Julian Sturdy","Conservative","York Outer","No",""
"Zarah Sultana","Labour","Coventry South","Aye",""
"Rishi Sunak","Conservative","Richmond (Yorks)","No",""
"James Sunderland","Conservative","Bracknell","No",""
"Desmond Swayne","Conservative","New Forest West","No",""
"Robert Syms","Conservative","Poole","No",""
"Mark Tami","Labour","Alyn and Deeside","Aye",""
"Sam Tarry","Labour","Ilford South","Aye",""
"Alison Thewliss","Scottish National Party","Glasgow Central","Aye",""
"Nick Thomas-Symonds","Labour","Torfaen","Aye",""
"Derek Thomas","Conservative","St Ives","No",""
"Gareth Thomas","Labour","Harrow West","Aye",""
"Owen Thompson","Scottish National Party","Midlothian","Teller - Ayes",""
"Richard Thomson","Scottish National Party","Gordon","Aye",""
"Emily Thornberry","Labour","Islington South and Finsbury","Aye",""
"Maggie Throup","Conservative","Erewash","No",""
"Stephen Timms","Labour","East Ham","Aye",""
"Edward Timpson","Conservative","Eddisbury","No",""
"Kelly Tolhurst","Conservative","Rochester and Strood","No",""
"Justin Tomlinson","Conservative","North Swindon","No",""
"Michael Tomlinson","Conservative","Mid Dorset and North Poole","Teller - Noes",""
"Craig Tracey","Conservative","North Warwickshire","No",""
"Anne-Marie Trevelyan","Conservative","Berwick-upon-Tweed","No",""
"Jon Trickett","Labour","Hemsworth","Aye",""
"Laura Trott","Conservative","Sevenoaks","No Vote Recorded",""
"Elizabeth Truss","Conservative","South West Norfolk","No",""
"Tom Tugendhat","Conservative","Tonbridge and Malling","No",""
"Karl Turner","Labour","Kingston upon Hull East","Aye",""
"Derek Twigg","Labour","Halton","No Vote Recorded",""
"Liz Twist","Labour","Blaydon","Aye",""
"Shailesh Vara","Conservative","North West Cambridgeshire","No Vote Recorded",""
"Valerie Vaz","Labour","Walsall South","Aye",""
"Martin Vickers","Conservative","Cleethorpes","No",""
"Matt Vickers","Conservative","Stockton South","No",""
"Theresa Villiers","Conservative","Chipping Barnet","No",""
"Christian Wakeford","Conservative","Bury South","No",""
"Robin Walker","Conservative","Worcester","No",""
"Charles Walker","Conservative","Broxbourne","No",""
"Ben Wallace","Conservative","Wyre and Preston North","No",""
"Jamie Wallis","Conservative","Bridgend","No",""
"David Warburton","Conservative","Somerton and Frome","No",""
"Matt Warman","Conservative","Boston and Skegness","No",""
"Giles Watling","Conservative","Clacton","No",""
"Suzanne Webb","Conservative","Stourbridge","No",""
"Claudia Webbe","Labour","Leicester East","Aye",""
"Catherine West","Labour","Hornsey and Wood Green","Aye",""
"Matt Western","Labour","Warwick and Leamington","Aye",""
"Helen Whately","Conservative","Faversham and Mid Kent","No",""
"Heather Wheeler","Conservative","South Derbyshire","No",""
"Alan Whitehead","Labour","Southampton, Test","Aye",""
"Philippa Whitford","Scottish National Party","Central Ayrshire","Aye",""
"Mick Whitley","Labour","Birkenhead","Aye",""
"Craig Whittaker","Conservative","Calder Valley","No",""
"John Whittingdale","Conservative","Maldon","No",""
"Nadia Whittome","Labour","Nottingham East","Aye",""
"Bill Wiggin","Conservative","North Herefordshire","No",""
"James Wild","Conservative","North West Norfolk","No",""
"Craig Williams","Conservative","Montgomeryshire","No",""
"Hywel Williams","Plaid Cymru","Arfon","Aye",""
"Gavin Williamson","Conservative","South Staffordshire","No",""
"Munira Wilson","Liberal Democrat","Twickenham","Aye",""
"Sammy Wilson","Democratic Unionist Party","East Antrim","No",""
"Beth Winter","Labour","Cynon Valley","Aye",""
"Rosie Winterton","Deputy Speaker","Doncaster Central","No Vote Recorded",""
"Pete Wishart","Scottish National Party","Perth and North Perthshire","Aye",""
"Mike Wood","Conservative","Dudley South","No",""
"William Wragg","Conservative","Hazel Grove","No",""
"Jeremy Wright","Conservative","Kenilworth and Southam","No",""
"Mohammad Yasin","Labour","Bedford","Aye",""
"Jacob Young","Conservative","Redcar","No Vote Recorded",""
"Nadhim Zahawi","Conservative","Stratford-on-Avon","No",""
"Daniel Zeichner","Labour","Cambridge","Aye",""
